City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Barrow,US,71.2906,-156.7887,-11.2,77,1,5.75,clear sky,2021-04-11 22:51:45
1,Codrington,AU,-38.2667,141.9667,58.06,64,80,9.08,broken clouds,2021-04-11 22:51:45
2,Nikolskoye,RU,59.7035,30.7861,44.01,60,40,4.47,moderate rain,2021-04-11 22:51:45
3,Kavaratti,IN,10.5669,72.642,82.6,70,2,5.21,clear sky,2021-04-11 22:51:46
4,Maragogi,BR,-9.0122,-35.2225,77.05,87,100,9.15,moderate rain,2021-04-11 22:51:46
5,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,40,9.22,scattered clouds,2021-04-11 22:51:47
6,Olinda,BR,-8.0089,-34.8553,73.4,88,90,9.22,moderate rain,2021-04-11 22:51:47
7,New Norfolk,AU,-42.7826,147.0587,50.0,80,100,1.99,overcast clouds,2021-04-11 22:51:48
8,Egvekinot,RU,66.3167,-179.1667,-2.15,74,100,19.64,overcast clouds,2021-04-11 22:51:48
9,Kahului,US,20.8947,-156.47,75.2,78,40,11.5,light rain,2021-04-11 22:51:48
10,Boulder,US,40.0833,-105.3505,57.2,30,40,10.11,scattered clouds,2021-04-11 22:50:42
11,Rikitea,PF,-23.1203,-134.9692,78.46,73,6,7.78,light rain,2021-04-11 22:51:49
12,Lavrentiya,RU,65.5833,-171.0,5.79,84,100,29.95,light snow,2021-04-11 22:51:49
13,Albany,US,42.6001,-73.9662,59.0,67,100,8.37,overcast clouds,2021-04-11 22:50:33
14,Pisco,PE,-13.7,-76.2167,73.4,64,0,21.85,clear sky,2021-04-11 22:51:50
15,Fortuna,US,40.5982,-124.1573,60.01,66,1,14.97,clear sky,2021-04-11 22:51:50
16,Vangaindrano,MG,-23.35,47.6,72.03,89,48,3.47,scattered clouds,2021-04-11 22:51:51
17,Punta Arenas,CL,-53.15,-70.9167,55.4,38,0,11.5,clear sky,2021-04-11 22:51:51
18,Leningradskiy,RU,69.3833,178.4167,-2.56,79,7,6.24,clear sky,2021-04-11 22:51:51
19,Deputatskiy,RU,69.3,139.9,-8.68,87,48,2.26,scattered clouds,2021-04-11 22:51:52
20,Mataura,NZ,-46.1927,168.8643,60.01,88,89,8.99,overcast clouds,2021-04-11 22:51:52
21,Feijo,BR,-8.1642,-70.3536,74.95,96,73,2.35,broken clouds,2021-04-11 22:51:53
22,Jamestown,US,42.097,-79.2353,64.4,52,1,6.91,clear sky,2021-04-11 22:51:53
23,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,2,11.56,clear sky,2021-04-11 22:47:02
24,Castro,BR,-24.7911,-50.0119,63.9,74,9,4.92,clear sky,2021-04-11 22:51:54
25,Ushuaia,AR,-54.8,-68.3,50.0,53,75,18.41,broken clouds,2021-04-11 22:51:54
26,Kon Tum,VN,14.35,108.0,65.28,91,21,2.3,few clouds,2021-04-11 22:51:10
27,Avarua,CK,-21.2078,-159.775,82.4,78,40,5.75,light rain,2021-04-11 22:51:55
28,Vaini,TO,-21.2,-175.2,80.6,69,20,5.75,few clouds,2021-04-11 22:51:55
29,Sambava,MG,-14.2667,50.1667,75.22,89,100,8.03,overcast clouds,2021-04-11 22:51:55
30,Carnarvon,AU,-24.8667,113.6333,78.8,83,90,12.66,overcast clouds,2021-04-11 22:51:56
31,Chuy,UY,-33.6971,-53.4616,64.09,74,95,17.67,overcast clouds,2021-04-11 22:51:56
32,Khatanga,RU,71.9667,102.5,16.65,84,98,10.4,overcast clouds,2021-04-11 22:51:56
33,Nelson Bay,AU,-32.7167,152.15,57.99,54,20,10.36,few clouds,2021-04-11 22:51:57
34,Sur,OM,22.5667,59.5289,80.64,64,0,9.66,clear sky,2021-04-11 22:51:57
35,Hambantota,LK,6.1241,81.1185,77.79,83,95,2.57,overcast clouds,2021-04-11 22:51:57
36,Viedma,AR,-40.8135,-62.9967,62.35,40,1,3.65,clear sky,2021-04-11 22:51:58
37,Padang,ID,-0.9492,100.3543,75.2,100,90,3.44,overcast clouds,2021-04-11 22:51:58
38,Cape Town,ZA,-33.9258,18.4232,64.0,86,100,3.0,overcast clouds,2021-04-11 22:51:59
39,Waipawa,NZ,-41.4122,175.5153,68.0,73,45,19.57,scattered clouds,2021-04-11 22:51:59
40,Sinnamary,GF,5.3833,-52.95,78.06,84,62,4.07,broken clouds,2021-04-11 22:51:59
41,Thompson,CA,55.7435,-97.8558,26.6,68,90,12.66,overcast clouds,2021-04-11 22:52:00
42,Areosa,PT,41.7178,-8.8571,57.0,67,0,3.44,clear sky,2021-04-11 22:52:00
43,Tvoroyri,FO,61.5556,-6.8111,32.0,74,75,1.14,broken clouds,2021-04-11 22:52:00
44,Iqaluit,CA,63.7506,-68.5145,30.2,93,90,17.27,overcast clouds,2021-04-11 22:51:22
45,Mogadishu,SO,2.0371,45.3438,81.64,71,99,12.68,overcast clouds,2021-04-11 22:49:47
46,Port Alfred,ZA,-33.5906,26.891,65.66,91,79,3.29,broken clouds,2021-04-11 22:52:01
47,Tobane,BW,-21.95,27.9,62.73,60,0,4.81,clear sky,2021-04-11 22:52:01
48,Bonthe,SL,7.5264,-12.505,80.42,87,13,4.07,light rain,2021-04-11 22:52:02
49,Tiksi,RU,71.6872,128.8694,8.31,69,100,7.99,overcast clouds,2021-04-11 22:52:02
50,Beloha,MG,-25.1667,45.05,71.85,90,22,10.71,few clouds,2021-04-11 22:52:03
51,Kapaa,US,22.0752,-159.319,77.0,61,75,16.11,light rain,2021-04-11 22:52:03
52,Birao,CF,10.2849,22.7882,80.76,13,100,6.67,overcast clouds,2021-04-11 22:52:03
53,Kodiak,US,57.79,-152.4072,39.2,87,90,17.27,moderate rain,2021-04-11 22:52:03
54,Souillac,MU,-20.5167,57.5167,77.0,94,75,6.91,broken clouds,2021-04-11 22:52:04
55,Inirida,CO,3.8653,-67.9239,75.61,94,100,0.51,moderate rain,2021-04-11 22:52:04
56,Hobart,AU,-42.8794,147.3294,50.0,81,75,11.5,light intensity drizzle,2021-04-11 22:52:04
57,Bluff,NZ,-46.6,168.3333,60.01,88,40,8.99,scattered clouds,2021-04-11 22:52:05
58,Maceio,BR,-9.6658,-35.7353,71.6,100,75,6.91,light rain,2021-04-11 22:49:56
59,Constitucion,CL,-35.3333,-72.4167,60.82,73,0,13.2,clear sky,2021-04-11 22:48:07
60,Ancud,CL,-41.8697,-73.8203,60.01,78,93,15.99,overcast clouds,2021-04-11 22:52:05
61,Mackay,AU,-21.15,149.2,75.99,56,3,12.66,clear sky,2021-04-11 22:52:06
62,Novoagansk,RU,61.9449,76.6625,36.61,98,100,11.1,overcast clouds,2021-04-11 22:52:06
63,Lakatoro,VU,-16.0999,167.4164,82.36,70,94,3.33,overcast clouds,2021-04-11 22:52:07
64,Manoel Urbano,BR,-8.8389,-69.2597,74.64,91,100,0.16,overcast clouds,2021-04-11 22:52:07
65,Zaragoza,ES,41.6561,-0.8773,48.99,76,0,20.71,clear sky,2021-04-11 22:51:22
66,Qaanaaq,GL,77.484,-69.3632,23.05,94,100,9.69,snow,2021-04-11 22:52:07
67,Narsaq,GL,60.9167,-46.05,48.2,29,0,13.8,clear sky,2021-04-11 22:52:08
68,East London,ZA,-33.0153,27.9116,71.13,82,100,1.95,overcast clouds,2021-04-11 22:52:08
69,Pacific Grove,US,36.6177,-121.9166,59.0,63,90,10.36,overcast clouds,2021-04-11 22:51:21
70,Ribeira Grande,PT,38.5167,-28.7,62.6,86,82,13.44,broken clouds,2021-04-11 22:50:53
71,Jaipur,IN,26.9167,75.8167,73.4,35,0,2.3,haze,2021-04-11 22:47:17
72,Ishigaki,JP,24.3448,124.1572,73.4,83,20,10.36,few clouds,2021-04-11 22:48:07
73,Ponta Do Sol,PT,32.6667,-17.1,63.0,81,100,1.01,overcast clouds,2021-04-11 22:52:09
74,Porterville,US,36.0652,-119.0168,78.8,29,1,4.61,clear sky,2021-04-11 22:52:10
75,Hermanus,ZA,-34.4187,19.2345,64.99,82,100,5.99,overcast clouds,2021-04-11 22:52:10
76,Otane,NZ,-39.8833,176.6333,69.01,83,95,1.99,overcast clouds,2021-04-11 22:50:07
77,Bethel,US,41.3712,-73.414,53.01,93,100,3.0,overcast clouds,2021-04-11 22:48:42
78,Emerald,AU,-23.5333,148.1667,64.4,32,0,23.02,clear sky,2021-04-11 22:52:11
79,Tshikapa,CD,-6.4167,20.8,70.03,98,100,2.21,light rain,2021-04-11 22:52:11
80,Itaqui,BR,-29.1253,-56.5531,66.42,65,94,14.14,overcast clouds,2021-04-11 22:50:11
81,Malakal,SS,9.5334,31.6605,92.66,13,88,3.67,overcast clouds,2021-04-11 22:52:12
